track_id,track_name,popularity,duration,artist,liveness,danceability,energy,loudness,speechiness,acousticness,valence
0I9R4mjZ0VFZAbuSe8tttV,Restrição Sentimental,70,182549,Gustavo Mioto|Marília Mendonça,0.661,0.586,0.572,-4.876,0.0474,0.463,0.629
2rFQnkqRVcpKkMj1oLPMyb,Melhor Que Muita Gente,72,161519,Israel & Rodolffo,0.145,0.719,0.806,-4.556,0.0566,0.57,0.714
1pPuodu8A0LxAuVhf3QniW,Mtg Ta Brotando No Plantão Pra Tira Foto Com Revolver,72,116596,Dj Wesley Gonzaga,0.0948,0.911,0.448,-2.439,0.388,0.174,0.54
79Djb1E319BwnYZ8cEA1mQ,BONEKINHA,70,168887,Gloria Groove,0.355,0.652,0.823,-4.31,0.0585,0.053,0.353
0eu4C55hL6x29mmeAjytzC,Life Goes On,92,161803,Oliver Tree,0.117,0.7,0.49,-5.187,0.076,0.186,0.569
1rFRjUkibxaMaUwGgKpfwe,Tô Sem Você,72,172320,João Gomes,0.113,0.594,0.887,-4.627,0.0429,0.282,0.663
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,82,183290,Dua Lipa,0.0951,0.793,0.793,-4.521,0.083,0.0123,0.679
1MparvKC8QIDwu06iO3qVr,Volta Por Baixo - Ao Vivo,70,192632,Henrique & Juliano,0.942,0.532,0.769,-5.899,0.0501,0.386,0.463
7bukHRNgGLRySTJEVvLoIR,Briga Feia - Ao Vivo,71,194580,Henrique & Juliano,0.93,0.589,0.846,-5.501,0.0616,0.108,0.565
000RW47rhEkSqjgTrZx7YX,Lance Individual,62,164458,Jorge & Mateus,0.075,0.752,0.62,-5.536,0.0509,0.309,0.962
5Dcb2W1UpzVFQuyzxpqZaB,"Revoada do Tubarão 2 (feat. Mc Davi, Mc PP da VS, Mc Pedrinho, Mc Dricka, Mc Lbx, Mc Kevin, Salvador Da Rima, Ferrugem, MC Kevinho, Gaab)",70,591157,MC Ryan SP|Mc Don Juan|MC Hariel|Ferrugem|Gaab|MC Kevinho|Mc Davi|Mc Dricka|Mc Kevin|Mc Lbx|Mc PP da VS|Mc Pedrinho|Salvador da Rima,0.322,0.829,0.767,-3.164,0.0892,0.167,0.643
0DlHQxrVijRqVUfuS6PKaY,Deixa de Onda (Porra Nenhuma),72,184999,DENNIS|Xamã|LUDMILLA,0.312,0.815,0.69,-4.622,0.0469,0.29,0.654
2ip4hxYupn3CSsHjn4l2a8,MODO TURBO,67,150259,Luísa Sonza|Pabllo Vittar|Anitta,0.232,0.655,0.726,-7.628,0.0796,0.334,0.766
5m5aY6S9ttfIG157xli2Rs,Alô Ambev (Segue Sua Vida) - Ao Vivo,72,169593,Zé Neto & Cristiano,0.954,0.695,0.872,-3.65,0.0868,0.334,0.646
2JMOMpspSaGua3VK2EFcGZ,Vixe Que Gostoso,68,217258,Juliette,0.107,0.671,0.516,-10.983,0.0361,0.684,0.589
1ZW2jCyFX0WrZfIJjkWq3j,Deboche,71,236160,Mc Davi|MC Ryan SP|Mc Don Juan,0.323,0.456,0.416,-3.682,0.103,0.498,0.121
23s3h5dG3GMZ9oHjR9Eizm,Resumindo - Ao Vivo,67,202092,Diego & Arnaldo|Vitor Fernandes,0.951,0.746,0.807,-2.916,0.0727,0.325,0.702
3sGcETRMuAgcPgjDpIkgMn,777-666,71,164000,Matuê,0.139,0.544,0.802,-4.534,0.326,0.0534,0.322
0s2SzCYqITp4lKdbxPQoYy,MULHER DO ANO XD,71,155384,Luísa Sonza,0.269,0.736,0.525,-7.328,0.0558,0.161,0.801
0C3hl4giyPEnDQf2IlWpk2,No Llores Más,73,169806,Simone & Simaria|Sebastian Yatra,0.0912,0.687,0.817,-4.566,0.0627,0.0895,0.365
4j1YtEBU47QOUapAXf5svl,Beijou Meia Cidade,71,165377,Zé Neto & Cristiano,0.0879,0.725,0.728,-4.775,0.0926,0.475,0.733
7lJoRyuNJtuiqTcKtuMuIR,Maçã Verde,71,164307,MC Hariel,0.1,0.582,0.531,-3.725,0.0905,0.0428,0.169
7yjduLSgPntFlq79Cuzrfz,Eu Tenho Medo,71,216835,Zé Vaqueiro,0.2,0.597,0.895,-2.117,0.0384,0.623,0.384
5CZ40GBx1sQ9agT82CLQCT,traitor,92,229226,Olivia Rodrigo,0.12,0.38,0.339,-7.885,0.0338,0.691,0.0849
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,93,202735,Elton John|Dua Lipa|PNAU,0.0952,0.796,0.798,-6.312,0.0317,0.034,0.942
2JTir3y1VuJQmexiTCMcTP,Recairei - Ao Vivo,63,166837,Os Barões Da Pisadinha,0.684,0.582,0.937,-2.118,0.0858,0.449,0.939
35mvY5S1H3J2QZyna3TFe0,positions,86,172324,Ariana Grande,0.0931,0.737,0.802,-4.771,0.0878,0.468,0.682
5oI9blwsXC8AkTWw6wASY8,Máquina do Tempo,71,230400,Matuê,0.138,0.629,0.727,-4.387,0.0499,0.0647,0.132
1uP6LzGFVwX2h2D39mOglz,Eu Rebolo Sim,63,130182,Mc Branquinha,0.0869,0.89,0.498,-8.243,0.0828,0.051,0.917
6f3Slt0GbA2bPZlz0aIFXN,The Business,88,164000,Tiësto,0.112,0.798,0.62,-7.079,0.232,0.414,0.235
0Pjd5h1ZOSyhSwZrDeCIXg,Giro dos Artistas,70,338823,Mc Bruninho da Praia|Mc Kevin|Mc IG|Mc Magal|MC GP,0.191,0.737,0.484,-7.767,0.309,0.331,0.826
5glMxRMRHGBRj6bydBjoPM,FALA MAL DE MIM,71,154181,PEDRO SAMPAIO|Daniel Caon|Wesley Safadão,0.0794,0.695,0.805,-4.351,0.0959,0.333,0.673
2fmeSswdyVq4wcqhY41UHk,Poesia Acústica #9: Melhor Forma,71,611076,Pineapple StormTv|L7NNON|Chris MC|Xamã|Lourena|Cesar Mc|Djonga|Filipe Ret|Salve Malak|Hunter,0.117,0.733,0.688,-5.458,0.0672,0.455,0.654
40zJaB3z53PGaxIkYyieBP,Só de Sacanagem - Ao Vivo,71,183695,Israel & Rodolffo|MC Matheuzinho,0.345,0.826,0.769,-5.203,0.0507,0.538,0.709
02MWAaffLxlfxAUY7c5dvx,Heat Waves,90,238805,Glass Animals,0.0921,0.761,0.525,-6.9,0.0944,0.44,0.531
0GTPmh5G40joBg93vcSQNq,Don't Say Goodbye (feat. Tove Lo),77,186700,Alok|Ilkay Sencan|Tove Lo,0.326,0.698,0.719,-4.923,0.0455,0.00829,0.364
68cPbG7hJnwDW9nPX1uQcX,Saturno,71,186947,BIN|Mainstreet|Ajaxx,0.1,0.694,0.551,-5.929,0.0485,0.704,0.908
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,89,242096,Bruno Mars|Anderson .Paak|Silk Sonic,0.0927,0.586,0.616,-7.964,0.0324,0.182,0.719
0YluTOlBctnpHPABgFSXEw,Vou Falar Que Não Quero - Remix,71,151068,DJ Lucas Beat|Vitor Fernandes,0.11,0.825,0.573,-3.778,0.0727,0.654,0.545
3p3iOpzsKOGMeNBaexBXXR,ASSIM NASCE UM BÊBADO,69,223374,Luan Santana,0.323,0.459,0.78,-4.169,0.0935,0.511,0.507
5wANPM4fQCJwkGd4rN57mH,drivers license,90,242013,Olivia Rodrigo,0.106,0.561,0.431,-8.81,0.0578,0.768,0.137
